,username
0,Batalin
1,batandcamel
2,batch11
3,Bate3187
4,Bates245
5,Batesy
6,Batsibill
7,BatsLXXII
8,battlow
9,bau55536
10,bauermi6
11,Bawatson1593
12,BaxterInwood
13,Baxwmccoy
14,BAYLOR14
15,BAYOGeorge
16,BayoHawk
17,baysideblue
18,bazancita
19,Bazbazbaz
20,Bazela
21,BazYates
22,BB952
23,Bball50center
24,bballr4567
25,bban12
26,bbarlow007
27,Bbarrows
28,bbauer235
29,Bbaum16
30,bbbowden
31,Bbdavis92
32,Bbeck38
33,Bbergeron213
34,Bblackapitt21
35,bblair74
36,BBLofBeer90
37,bbockrath
38,bbolton
39,bbouko
40,Bbreyne
41,BBrockes
42,BBTJAX
43,bbuck153
44,bbusa98
45,Bbymntee
46,Bcamp1119
47,BCan2
48,Bcardinal87
49,Bcarnes
50,bcaul
51,BCBrinkO
52,Bcc23
53,Bcgillis
54,bcherry0
55,bchum29
56,bclueder
57,bcmcadam
58,BcnBeerFest
59,bcoles27
60,BColton1
61,Bcom09
62,BcOneSeven
63,Bcontrat
64,bcookers
65,Bcooper345
66,bcornizzle
67,bcourter
68,Bcoyle
69,bcreilly
70,BCrowRatesBeers
71,b_c_skinner
72,Bcstlouis
73,bcwebb73
74,bcwilhelm
75,bdans1987
76,Bdasilva
77,Bdawk33
78,bdb55
79,BDCannon
80,Bdemarco
81,BDering
82,bdevil710
83,bdey40
84,bdgr87
85,bdillman09
86,Bdm1010
87,Bdonoghue
88,Bdoods
89,Bdowd86
90,Bdoyle1969
91,bdrill
92,Bdubb66
93,B-dubbs77
94,BDubDrinksBeer
95,B_dugan
96,bdwerner
97,Be4sT8
98,beamjc
99,Beanandbrew
100,beanbag413
101,beanboon
102,beandip
103,Beanieheadz2789
104,beankenobi
105,Bearaids
106,BearBoling
107,Bearclaw10
108,Bearcub1994
109,Beardbrah
110,BeardCoast
111,Bearded_Delishus
112,BeardedLoverOfBeer
113,Beardednewt
114,Beardedvet83
115,BEARDEDxBREWER
116,BeardlessBrewing
117,BeardyMcBeerBeard
118,Bearland
119,bearmark
