,username
0,-_-_-
1,070687
2,08nrarrington
3,0DaysSober
4,0ompa87
5,10098665
6,10abv
7,11011000001
8,11jackofspades
9,121minuteIPA
10,1-2-3
11,123-456-789
12,123Victor321
13,12Chris1985
14,12jbrew12
15,12ozofpureevil
16,12ozToFreedom
17,12TJoyce
18,1337llama
19,13ellebo
20,13Nike
21,13skywalker
22,13th
23,15till50
24,16ozcurl_dg
25,16ozslinger
26,17maddog
27,187sara
28,19161313
29,1971hemicuda
30,19870826
31,1993pieter
32,1Badgerfan
33,1badpirate
34,1beerbaron
35,1goodbeer
36,1Hopster
37,1KBeers
38,1littleashley
39,1quikbeer
40,1rschmidt9
41,1sam1
42,1Walsh
43,205t16
44,22581london
45,2488Sizz
46,2beerqueers
47,2defmouze
48,2E_glass
49,2eyedCyclops
50,2ez4u
51,2Finsout
52,2kue
53,2kuth
54,314bottles
55,330877123Dk
56,333dp333
57,379973
58,3del
59,3Dman
60,3Dragons
61,3hd3yf
62,3lrodtaylor
63,3mrocha
64,3muskebeers
65,3pearce
66,3TENBeerGuy
67,3xstan
68,413BeerMe
69,448andy
70,44BestBrews44
71,4721
72,4AaronD
73,4ita
74,4ln4kuhn
75,4X4cookies
76,4x4s4me
77,50_cal
78,50statesquest
79,510mario
80,514Cobalt
81,556
82,586
83,5am8
84,5cents
85,5o66o
86,5oclockpodcast
87,5tout
88,604fx
89,608BrewingCompany
90,66must
91,69jaypea
92,6ixCharlie
93,76_brewer
94,76Jayhawk
95,777JCT
96,789BBQ
97,78MillerTime
98,794gumby
99,797wash
100,7sinsbrewing
101,7zark7
102,8000K
103,800xpx
104,808beerchacho
105,81david
106,87NOTCH
107,87Viking
108,88lijacks
109,89vision
110,8arley
111,8ate8
112,8Flags
113,8yomama
114,90680
115,907BeerNerd
116,918beerguy
117,95redm3
118,9882698840
119,9lyons
120,a118519
121,A1binoRhino
122,a21450
123,a2d906
124,A2DMFNK
125,a4aaron
126,Aaaaaaaabbbbaaa
127,Aab1983
128,aablasco
129,aacharya
130,Aadhdkid2
131,Aaeaeama
132,Aaespo
133,aahansen
134,aahowe
135,aaimetti
136,aake1960
137,aakers79
138,aamcg
139,AAndrusko
140,aantanavica
141,aap15
142,Aapiego1
143,AAPLFanboy
144,Aarbu
145,aaredub
146,Aarmonait
147,a-aron11
148,A-Aron73
149,Aaron929
150,aaronariem
151,Aarond72
152,AaronDaly
153,Aarondehart
154,aarondion
155,aaron_fischer
156,aarong1
157,aarongraf
158,AaronHarper
159,aaronherget
160,AaronI
161,aaronldoody
162,aaronrodgers97
163,aaronsalmon1
164,aarons_beerstagram
165,aaronschlegel
166,aaronson12
167,AaronThompson
168,aaronwgames1
169,aavramp
170,Aayalah
171,Ab1700d
172,AB300
173,Ab6soanj
174,abailey225
175,Abandlr
176,Abarryy
177,Abartko
178,Abassplayer
179,Abatwar99
180,Abaughan
181,abaxter1
182,Abaz
183,AbbeyZaykoski
184,abbydavis
185,ABeerman
186,AbeMartin37
187,abf1213
188,ablazinob
189,ABlokeNamedSmoke
190,abootman
191,AboutBeverages
192,Above75
193,abrahamvonduzen
194,ABrinklow
195,ABruington1987
196,abseattle
197,Absolon
198,absoluthamm
199,Abumichael
200,aburckle
201,AC3818
202,Acaho
203,acallahan24
204,acampbell0112
205,ACAPWILL
206,Acarey10
207,Acassioppi
208,acastellucci524
209,Acauley
210,Acbaker2112
211,Ace2489
212,AceBlack
213,Ace_Boogie
214,aced16
215,Acefanyon
216,aceman2124
217,Acemj86
218,acetate
219,Achipman
220,achoke
221,acholguin
222,Achtung
223,Acidburn79
224,acidking
225,acidtung
226,Acidwash
227,Acincotta
228,ackack
229,AClark14313
230,Acmeier5051
231,aconklin
232,acorey1
233,acoston
234,acott1
235,acovjo
236,acraftybeer
237,ACready
238,Acrocide
239,ACS14
240,acswimmer02
241,act9
242,Actuatedbambi
243,acuratl28
244,Acwh
245,acyoung589
246,Ad15nt
247,Ad7iv
248,adaira
249,adam1985
250,adam20
251,Adam3885
252,Adam7balisteri
253,adamagovino
254,AdamAV
255,adambrown05
256,adambttn
257,Adamchatman
258,adamcohen0
259,Adam_c_ray
260,adamd1818
261,adamdivo
262,adamendres5
263,AdamG19
264,AdamHopard
265,adamintoronto
266,adamjackson
267,adamjgeorge
268,AdamJMac
269,adamjwhite1209
270,adamkeyworth
271,adam_kwitek_877
272,adamlee1983
273,adamlowry
274,adamlsn
275,adammaresca1
276,adammonk
277,adamn74
278,adamnackers
279,Adamofpdub
280,adamostella
281,adampfeifle
282,Adam_Pro
283,AdamPS1025
284,Adamrandels
285,adamrbrand
286,adamronquillo
287,AdamSaball
288,AdamSkott
289,Adamsmith3605
290,Adamsn17
291,adamsonnett
292,adam_stoyles_347
293,Adamwest023
294,Adavis1991
295,Adavis37
296,adayt13
297,addios
298,addisonwhite
299,Addyanddaddy
300,Addybake85
301,Adeano396
302,ADee77
303,a_delvalle
304,ademsylejmani
305,Adge25
306,adgonzalez10
307,ADHOP_Rich
308,adicks
309,adidaswp
310,adieguez
311,Adje95
312,Adkirsch
313,admiraldan
314,admiralporkch0p
315,Admiraltrey
316,AdmKng
317,admund
318,Adnarim_
319,adnilema
320,adobron
321,adoezema
322,adonahue
323,Adoni04
324,adonnick
325,AdornoUltra
326,adotjacob
327,adpainter2216
328,adrez86
329,AdriaMS
330,Adrian.Duckett
331,adrianguntveit
332,adrianmott
333,adrianofranciosi
334,adriggsvt
335,AdRock707
336,ADrunkBeer
337,adrymolina
338,adsfbike
339,adster
340,adt56837
341,Aduffield
342,Aduraku
343,Adusk81
344,adv80
345,Adventuremann
346,AdzEelz
347,Aeasye
348,aecase1828
349,AegontheConqueror
350,aejzak
351,Aenimal
352,Aequitas81
353,Aeromn
354,Aerone2
355,Aesie4ester
356,aessary1
357,Afantetti
358,Afarry24
359,afausto173
360,afchino
361,afcreducer
362,AFein
363,aferrara42
364,aficcion
365,Afiev
366,AFoose86
367,Afordha1
368,aforrester08
369,aforscutt
370,afox_2
371,afreed01
372,AFrid
373,Afrodeejiax
374,Afro_lou
375,AftermathBen
376,ag100
377,AG2979
378,agarci23
379,agaston
380,AgDrumma07
381,Agent12253
382,Agent_allen
383,agentbud
384,Agentdresh
385,agentlemansguidetobeer
386,agentmovar
387,agfa123
388,Agfrx7
389,aggieace088
390,AggieSPW
